sample_collect_date,pcr_target_flowpop_lin
2021-09-13,976134.55535
2021-09-20,1549554.17016
2021-09-27,639666.42254
2021-10-04,673939.44215
2021-10-11,588385.95599
2021-10-18,683989.44522
2021-10-25,767927.49645
2021-11-01,974015.34619
2021-11-08,1131243.28006
2021-11-15,1180388.25108
2021-11-22,1110774.95982
2021-11-29,883488.09239
2021-12-06,3778481.70747
2021-12-13,3989411.18054
2021-12-20,3837484.27951
2021-12-27,1250071.38246
2022-01-03,4075205.45539
2022-01-10,3404138.68878
2022-01-17,3958430.976
2022-01-24,811947.34266
2022-01-31,809593.3785
2022-02-07,1841020.25822
2022-02-14,1043246.4573
2022-02-21,798108.05308
2022-02-28,2888841.84818
2022-03-07,870033.95901
2022-03-14,1941400.84856
2022-03-21,1433654.96476
2022-03-28,837286.94332
2022-04-04,4703214.89141
2022-04-11,1081602.0505
2022-04-18,1403110.58036
2022-04-25,1650190.72128
2022-05-02,3001498.62882
2022-05-09,1231989.92326
2022-05-16,1829367.61668
2022-05-23,693561.33278
2022-05-30,1842909.57815
2022-06-06,855168.87421
2022-06-13,773612.66973
2022-06-20,656404.87563
2022-08-01,4252033.41014
2022-08-22,181439.58186
2022-08-29,733166.59879
2022-09-05,563413.80461
2022-09-12,384043.59749
2022-09-19,416110.69059
2022-09-26,437497.40113
2022-10-03,473175
2022-10-10,695554.56551
2022-10-17,1041721.96519
2022-10-24,1329431.83117
2022-10-31,1643543.78906
2022-11-07,3272113.38735
2022-11-14,7502156.74388
2022-11-21,14820121.49533
2022-11-28,9786575.07547
2022-12-05,10617177.56184
2022-12-12,11715578.90518
2022-12-19,12646551.51084
2022-12-26,5988122.04199
2023-01-02,2849100.35339
2023-01-09,2532097.59426
2023-01-16,1269406.79315
2023-01-23,1150157.27045
2023-01-30,752718.17821
2023-02-06,994400.9591
2023-02-13,969985.98645
2023-02-20,1346045.23591
2023-02-27,1372205.06097
2023-03-06,1003842.61084
2023-03-13,1277572.5
2023-03-20,1020883.17413
2023-03-27,1158677.02457
2023-04-03,961363.8929
2023-04-10,888695.57854
2023-04-17,961363.8929
2023-04-24,792747.46956
2023-05-01,895272.91764
2023-05-08,1042359.82266
2023-05-15,835544.26454
2023-05-22,675758.50757
2023-05-29,743969.88736
2023-06-05,594492.01598
2023-06-12,823315.86476
2023-06-19,838633.69786
2023-06-26,659416.68
2023-07-03,709052.7375
2023-07-10,826103.31198
2023-07-17,748334.18249
2023-07-24,763126.22932
2023-07-31,751513.23529
2023-08-07,879065.27208
2023-08-14,935835
2023-08-21,664229.56343
2023-08-28,765662.38059
2023-09-04,587167.15909
2023-09-11,711483.9389
2023-09-18,615598.699
2023-09-25,809492.75279
2023-10-02,788219.53728
2023-10-09,942444.79795
2023-10-16,1076473.125
2023-10-23,1090189.99982
2023-10-30,1304683.57956
2023-11-06,1274789.11765
2023-11-13,1467869.9868
2023-11-20,1192401
2023-11-27,3321688.47539
2023-12-04,3085161.37887
2023-12-11,3428310.58961
2023-12-18,4575814.3067
2023-12-25,5954051.46804
2024-01-01,4725649.93703
2024-01-08,3231506.91176
2024-01-15,3134965.79411
2024-01-22,3194036.04121
2024-01-29,2958624.54798
2024-02-05,3174057.9
2024-02-12,2362089.57047
2024-02-19,2654229.88474
2024-02-26,2321227.09026
2024-03-04,1820236.62857
2024-03-11,1845485.80648
2024-03-18,1324001.39631
2024-03-25,1354811.52136
2024-04-01,1420170.48329
2024-04-08,1415877.00771
2024-04-15,996137.45486
2024-04-22,942048.40909
2024-04-29,896691.26953
2024-05-06,757394.76613
2024-05-13,1013946.42857
2024-05-20,967162.30664
2024-05-27,895247.1
2024-06-03,753098.74726
2024-06-10,755211.98739
2024-06-17,709762.5
2024-06-24,685986.58286
2024-07-01,575799.67623
2024-07-08,715212.46205
2024-07-15,815391.62942
2024-07-22,584033.14286
2024-07-29,533364.18357
2024-08-05,763325.73344
2024-08-12,519681.34286
2024-08-19,661526.21359
2024-08-26,599182.7337
2024-09-02,689692.09512
2024-09-09,635192.27254
2024-09-16,720160.66667
2024-09-23,706708.81991
2024-09-30,575799.67623
2024-10-07,572521.06445
2024-10-14,531119.0289
2024-10-21,754316.27649
2024-10-28,716922.58182
2024-11-04,980845.71344
2024-11-11,1138351.74482
2024-11-18,1303123.95
2024-11-25,1287334.78882
2024-12-02,1636513.89677
2024-12-09,2674305.47073
2024-12-16,3497967.24388
2024-12-23,4190583.64856
2024-12-30,6553557.75094
2025-01-06,7973763.01986
2025-01-13,6467802.96716
2025-01-20,11486031.06413
2025-01-27,16224364.01023
2025-02-03,12836850.32969
2025-02-10,10166433.6384
2025-02-17,6544771.06304
2025-02-24,6334540.27406
2025-03-03,3800947.22017
2025-03-10,2284287.62999
2025-03-17,1855584.75324
2025-03-24,1420840.50762
2025-03-31,1108837.31411
2025-04-07,797453.58153
2025-04-14,676660.27914
2025-04-21,867133.10841
2025-04-28,702561.24722
2025-05-05,798792.85261
2025-05-12,703220.3413
2025-05-19,617026.62296
2025-05-26,645320.17777
2025-06-02,679357.62643
2025-06-09,556943.41514
2025-06-16,682055.95295
2025-06-23,568522.77482
2025-06-30,547511.9415
2025-07-07,573913.9575
2025-07-14,608575.84615
2025-07-21,615239.70498
2025-07-28,615127.5
2025-08-04,564440.994
2025-08-11,599182.7337
2025-08-18,568522.77482
2025-08-25,539798.04
2025-09-01,529968.34839
2025-09-08,542783.30332
2025-09-15,533983.02128
2025-09-22,530267.09003
2025-09-29,556943.41514
2025-10-06,716855.61977
2025-10-13,565266.68437
2025-10-20,554949.05564
2025-10-27,630426.825
2025-11-03,615127.5
2025-11-10,697298.22536
2025-11-17,643300.09314
2025-11-24,728094.65143
2025-12-01,1617599.47026
2025-12-08,1974103.31344
2025-12-15,3861731.48693
2025-12-22,4982607.41005
2025-12-29,6165520.21728
2026-01-05,5411984.50653
2026-01-12,3102238.31116
2026-01-19,3202203.62459
2026-01-26,3036526.82927
2026-02-02,2710076.01429
2026-02-09,2426455.56657
2026-02-16,2399563.27986
2026-02-23,1573330.13794
2026-03-02,1067320.84256
2026-03-09,1489892.80656
2026-03-16,1191401.26517
2026-03-23,1192955.81134
2026-03-30,790358.59049
2026-04-06,814363.63781
2026-04-13,1029810.77043
2026-04-20,807645.99356
2026-04-27,851715
2026-05-04,770252.16892
2026-05-11,803664.79978
2026-05-18,650570.5752
2026-05-25,635186.00543
2026-06-01,685652.79449
2026-06-08,660244.18605
2026-06-15,347922.79412